Name,Description,ID,Category,Source
MKVToolNix,,MoritzBunkus.MKVToolNix,Media Player,winget
Motrix,,agalwood.Motrix,Torrent,winget
Mozilla Firefox,,Mozilla.Firefox,Browser,winget
Mozilla Firefox,,firefox,Browser,scoop
Mozilla Firefox ESR,,Mozilla.Firefox.ESR,Browser,winget
Mp3tag,,Mp3tag.Mp3tag,Audio Player,winget
MPC-HC,,clsid2.mpc-hc,Media Player,winget
MusicBee,,MusicBee.MusicBee,Audio Player,winget
NanaZip,,M2Team.NanaZip,Archiver,winget
nano,,nano,Editor,choco
nano,,nano,Editor,scoop
NCSoft Purple,Gaming platform,NCSoft.Purple,Games,winget
NeoVim,Hyperextensible Vim-based text editor,neovim,Editor,scoop
Netflix,,9WZDNCRFJ3TJ,Streaming,winget
Netsoft Hubstaff,Time Tracking and Productivity Monitoring Tool,Netsoft.Hubstaff,Utility,winget
Nexus Terminal,SSH / RDP / VNC client,Heavrnl.NexusTerminal,Terminal,winget
Nilesoft Shell,,Nilesoft.Shell,Utility,winget
NirSoft Advanced Run,,NirSoft.AdvancedRun,Tools,winget
NirSoft Alternate Stream View ,"Scan your NTFS drive, and find all 
hidden alternate streams stored in the file system",NirSoft.AlternateStreamView,Tools,winget
NirSoft App Crash View,Display the details of all application crashes occurred in your system,NirSoft.AppCrashView,Tools,winget
NirSoft App Read Write Counter,"Counts and displays the current file read / write operations of every 
application running on your system",NirSoft.AppReadWriteCounter,Tools,winget
NirSoft BlueScreen View,,NirSoft.BlueScreenView,Utility,winget
NirSoft Chrome Cache View,,NirSoft.ChromeCacheView,Tools,winget
NirSoft CSV File View,,NirSoft.CSVFileView,Tools,winget
NirSoft DNS Lookup View,,NirSoft.DNSLookupView,Tools,winget
NirSoft Down Tester,,NirSoft.DownTester,Tools,winget
NirSoft Full Event Log View,,NirSoft.FullEventLogView,Tools,winget
NirSoft GUI Prop View,Displays extensive information about all windows currently opened on your system,NirSoft.GUIPropView,Tools,winget
NirSoft Hash My Files,,NirSoft.HashMyFiles,Tools,winget
NirSoft Inside Clipboard,,NirSoft.InsideClipboard,Tools,winget
NirSoft Installed Drivers List,,NirSoft.InstalledDriversList,Tools,winget
NirSoft Installed Packages View,,NirSoft.InstalledPackagesView,Tools,winget
NirSoft IP Net Info,,NirSoft.IPNetInfo,Tools,winget
NirSoft Last Activity View,,NirSoft.LastActivityView,Tools,winget
NirSoft NetB Scanner,,NirSoft.NetBScanner,Tools,winget
NirSoft NetRouteView,,NirSoft.NetRouteView,Tools,winget
NirSoft Network Interfaces View,,NirSoft.NetworkInterfacesView,Tools,winget
NirSoft Network Opened Files,,NirSoft.NetworkOpenedFiles,Tools,winget
NirSoft Network Usage View,,NirSoft.NetworkUsageView,Tools,winget
NirSoft NirCmd,,NirSoft.NirCmd,Tools,winget
NirSoft NK2Edit,,NirSoft.NK2Edit,Tools,winget
NirSoft Opened Files View,,NirSoft.OpenedFilesView,Tools,winget
NirSoft Resources Extract,,NirSoft.ResourcesExtract,Tools,winget
NirSoft Search My Files,,NirSoft.SearchMyFiles,Tools,winget
NirSoft ShellEx View,,NirSoft.ShellExView,Tools,winget
NirSoft Simple Program Debugger,,NirSoft.SimpleProgramDebugger,Tools,winget
NirSoft Sound Volume View,,NirSoft.SoundVolumeView,Tools,winget
NirSoft Tcp Log View,,NirSoft.TcpLogView,Tools,winget
NirSoft Turned On Times View,,NirSoft.TurnedOnTimesView,Tools,winget
NirSoft UninstallView,,NirSoft.UninstallView,Tools,winget
NirSoft USB Log View,,NirSoft.USBLogView,Tools,winget
NirSoft Video Cache View,,NirSoft.VideoCacheView,Tools,winget
NirSoft Volumouse,,NirSoft.Volumouse,Tools,winget
NirSoft Wake Me On Lan,,NirSoft.WakeMeOnLan,Tools,winget
NirSoft What Is Hang,,NirSoft.WhatIsHang,Tools,winget
NirSoft WhoisThisDomain,,NirSoft.WhoisThisDomain,Tools,winget
NirSoft WIFI Info View,,NirSoft.WifiInfoView,Tools,winget
NirSoft Wireless Network Watcher,,NirSoft.WirelessNetworkWatcher,Tools,winget
nodejs,,nodejs,other,scoop
Notepad++,,Notepad++.Notepad++,Editor,winget
Notepad2,,zufuliu.notepad2,Editor,winget
Nushell,,nushell,Shell,winget
Nushell,,nushell,Shell,choco
Nushell,,nushell,Shell,scoop
O&O ShutUp10++,,OO-Software.ShutUp10,Security,winget
OBS Studio,,OBSProject.OBSStudio,Media Player,winget
Oculus,Gaming platform,Meta.Oculus,Games,winget
oh-my-posh,,oh-my-posh,other,scoop
OpenJDK JRE 17,,ojdkbuild.openjdk.17.jre,Runtime,winget
OpenOffice,,Apache.OpenOffice,Office,winget
Open-Shell,,Open-Shell.Open-Shell-Menu,Customizer/Tweaker,winget
OpenShot Video Editor,,OpenShot.OpenShot,Media Player,winget
OpenVPN Connect,,OpenVPNTechnologies.OpenVPNConnect,VPN,winget
Opera,,Opera.Opera,Browser,winget
Oracle JDK 22,,Oracle.JDK.22,Runtime,winget
Otter,,OtterBrowserTeam.OtterBrowser,Browser,winget
Paint.NET,,dotPDN.PaintDotNet,Viewer/Editor,winget
pandoc,,pandoc,other,scoop
pCloud,,pCloudAG.pCloudDrive,Cloud Storage,winget
PDF Printer,,Bullzip.PDFPrinter,Utility,winget
PeaZip,,Giorgiotani.Peazip,Archiver,winget
Perl,,perl,other,scoop
PHP 8.4,,PHP.PHP.8.4,Development,winget
picgo,,picgo,other,scoop
Pidgin,,XP99J3KP4XZ4VV,E-Mail Client,winget
Pinterest,,9PFHDSF91B9R,Utility,winget
Playpark Downloader,Gaming platform,AsiasoftOnline.PlayparkDownloader,Games,winget
postman,,postman,other,scoop
PotPlayer,,PotPlayer,other,scoop
powertoys,,powertoys,other,scoop
Prowlarr,,TeamProwlarr.Prowlarr,Torrent,winget
PuTTY,,PuTTY.PuTTY,Utility,winget
Python,,python,Development,scoop
Python 2,,Python.Python.2,Development,winget
Python 2.7,,python27,Development,scoop
Python 3.9,,Python.Python.3.9,Development,winget
Qalculate,,Qalculate.Qalculate,Utility,winget
qBittorrent,,qBittorrent.qBittorrent,Torrent,winget
Q-Eye,,9NBLGGH65THN,Development,winget
QMMP,,QmmpDevelopmentTeam.qmmp,Audio Player,winget
QuasselIRC,,Quassel.QuasselIRC,IRC,winget
Radarr,,TeamRadarr.Radarr,Torrent,winget
Raspberry Pi Imager,,RaspberryPiFoundation.RaspberryPiImager,Boot Media,winget
RealVNC Server,,RealVNC.VNCServer,VNC,winget
RealVNC Viewer,,RealVNC.VNCViewer,VNC,winget
rescuetime,,rescuetime,other,scoop
Resource Hacker,,AngusJohnson.ResourceHacker,Customizer/Tweaker,winget
Revo Uninstaller,,RevoUninstaller.RevoUninstaller,Uninstaller,winget
ripgrep,,ripgrep,other,scoop
Rubberduck,open-source COM add-in project that integrates with the Visual Basic Editor to add modern-day features to the familiar IDE,Rubberduck.Rubberduck,Development,winget
ruby,,ruby,other,scoop
Rufus,,Rufus.Rufus,Boot Media,winget
rustup,,rustup,other,scoop
Scoop-Search,,main/scoop-search,Utility,scoop
ScreenToGif,,NickeManarin.ScreenToGif,Viewer/Editor,winget
Seanime Desktop,,5rahim.Seanime,Anime/Manga,winget
ShareFile,,ShareFile.ShareFileForWindows,Cloud Storage,winget
ShareX,,ShareX.ShareX,Screen Capture,winget
ShareX,,sharex,Screen Capture,scoop
sharpkeys,,sharpkeys,other,scoop
Shotcut,,Meltytech.Shotcut,Media Player,winget
Skype,,9WZDNCRFJ364,Messaging,winget
Smart Defrag,Fast & Deep Defrag to Optimize Hard Drive & PC Performance,IObit.SmartDefrag,Utility,winget
SMPlayer,,SMPlayer.SMPlayer,Media Player,winget
Snapchat,,9PF9RTKMMQ69,Social Platform,winget
Sonarr,,TeamSonarr.Sonarr,Torrent,winget
Sophia Script,PowerShell module,TeamSophia.SophiaScript,Development,winget
Spotify,,Spotify.Spotify,Streaming,winget
Spotify,,spotify,Streaming,scoop
SQLiteStudio,,sqlitestudio.pl.SQLiteStudio,Development,winget
Steam,Gaming platform,Valve.Steam,Games,winget
Steam,Gaming platform,steam,Games,scoop
Stremio,,Stremio.Stremio,Media Player,winget
sublime-merge,,sublime-merge,other,scoop
SumatraPDF,,SumatraPDF.SumatraPDF,Viewer/Editor,winget
SumatraPDF,,sumatrapdf,Viewer/Editor,scoop
SyncTrayzor,,SyncTrayzor.SyncTrayzor,Cloud Storage,winget
SyncTrayzor,,SyncTrayzor,Cloud Storage,scoop
Tailscale,,tailscale.tailscale,VPN,winget
TeamIDE,"database: MySql, Oracle, Kingbase, DM, Shentong, tools: SSH, FTP, Redis, Zookeeper, Kafka and Elasticsearch",TeamIDE.TeamIDE,Development,winget
TeamViewer,,TeamViewer.TeamViewer,Remote,winget
TeamViewer Host,,TeamViewer.TeamViewer.Host,Remote,winget
TechPowerUp GPU-Z,,TechPowerUp.GPU-Z,Utility,winget
Telegram,,Telegram.TelegramDesktop,Messaging,winget
Telegram,,telegram,Messaging,scoop
TeraCopy,,CodeSector.TeraCopy,Utility,winget
terminus,,terminus,other,scoop
Termora,,TermoraDev.Termora,Utility,winget
TheiaIDE,Eclipse IDE based on the Theia platform,EclipseFoundation.TheiaIDE,Development,winget
Threads,,9MXBP1FB84CQ,Social Platform,winget
Thunderbird,,Mozilla.Thunderbird,E-Mail Client,winget
TikTok,,9NH2GPH4JZS4,Social Platform,winget
Tixati,,Tixati.Tixati.Portable,Torrent,winget
Total Commander,,Ghisler.TotalCommander,File Manager,winget
Transmission,,Transmission.Transmission,Torrent,winget
Trillian,,Trillian.Trillian,Messaging,winget
Twitter,,XP99J3KP4XZ4VV,Social Platform,winget
typora,,typora,other,scoop
Ubisoft Connect,Gaming platform,Ubisoft.Connect,Games,winget
uGet,uGet is a lightweight yet powerful Open Source download manager for Windows,uGetdm.uGet,Package Manager,winget
UNetbootin,,unetbootin.unetbootin,Boot Media,winget
UniGetUI,,MartiCliment.UniGetUI,Package Manager,winget
UniversalForwarder,,Splunk.UniversalForwarder,Utility,winget
VeraCrypt,Disk encryption,IDRIX.VeraCrypt,Security,winget
Viber,,XPFM5P5KDWF0JP,Messaging,winget
vim,,vim.vim,Editor,winget
vim,,vim,Editor,choco
vim,,vim,Editor,scoop
VirtualBox,,Oracle.VirtualBox,Virtualization,winget
VLC media player,,VideoLAN.VLC,Media Player,winget
vnote,,vnote,other,scoop
vscode,,vscode,other,scoop
Walk,terminal navigator,antonmedv.walk,Terminal,winget
Warp,,Warp.Warp,Terminal,winget
Wave,,CommandLine.Wave,Terminal,winget
weasel,,weasel,other,scoop
WebKitty,,YikuanSun.WebKitty,Development,winget
WeChat,,XP99J3KP4XZ4VV,Messaging,winget
Whalebird,,h3poteto.whalebird-desktop,E-Mail Client,winget
WhatsApp,,WhatsApp.WhatsApp,Messaging,winget
Winamp,,Winamp.Winamp,Audio Player,winget
WinDbg,,Microsoft.WinDbg,Utility,winget
WinDirStat,,WinDirStat.WinDirStat,Utility,winget
winLAME,,vividos.winLAME,Audio Player,winget
WinMerge,,WinMerge.WinMerge,Utility,winget
WinRAR,,RARLab.WinRAR,Archiver,winget
WinSCP,,WinSCP.WinSCP,Utility,winget
WinScript,,flick9000.WinScript,Development,winget
WinZip,,Corel.WinZip,Archiver,winget
Wireshark,,WiresharkFoundation.Wireshark,Utility,winget
Stratoshark,,WiresharkFoundation.Stratoshark,Utility,winget
WizTree,,AntibodySoftware.WizTree,Utility,winget
wiztree,,wiztree,other,scoop
workflowy,,workflowy,other,scoop
WSA PacMan,GUI package manager and package installer for Windows Subsystem for Android (WSA),alesimula.wsa_pacman,Package Manager,winget
XAMPP 8.2,,ApacheFriends.Xampp.8.2,Development,winget
xemu,Xbox Emulator,xemu-project.xemu,Emulator,winget
XnView,,XnSoft.XnView.Classic,Viewer/Editor,winget
Yarn,,Yarn.Yarn,Package Manager,winget
yt-dlg,,yt-dlg.yt-dlg,Media Player,winget
yt-dlp,,yt-dlp.yt-dlp,Media Player,winget
Yumi UEFI,,YumiUsb.UEFI,Boot Media,winget
zeal,,zeal,other,scoop
Zen Browser,,Zen-Team.Zen-Browser,Browser,winget
ZeusIDE,,Xidicone.ZeusIDE,Development,winget
Zint Barcode Studio,,Zint.Zint,Utility,winget
Zoom Workplace,,XP99J3KP4XZ4VV,Messaging,winget
